#Table1
specobjid,objid8,ra,dec,spiral,elliptical,uncertain
299538880120514560,1237650795683184714,146.2222,-0.3759167,0,0,1
299539704754235392,1237650796219859174,145.8485,0.05133333,0,0,1
299540529387956224,1237648721215815838,145.8774,-0.05019445,1,0,0
299541079143770112,1237650795683053709,145.9059,-0.3683611,0,0,1
299541354021677056,1237648720678944999,145.8911,-0.4670556,1,0,0
299541903777490944,1237648721215815722,145.8765,-0.011,0,0,1
299542178655397888,1237650796219859159,145.8369,0.002916667,0,0,1
299542453533304832,1237650796219859039,145.8656,0.05619444,0,0,1
299542728411211776,1237648721215750366,145.8227,-0.1602778,0,0,1
299543003289118720,1237650796219859138,145.8252,0.04316667,0,0,1
299543278167025664,1237650796219859165,145.8442,0.03072222,0,0,1
299543553044932608,1237650796219859194,145.8653,0.08963889,1,0,0
299543827922839552,1237650795682988326,145.8925,-0.3362778,0,0,1
299544377678653440,1237650796219924629,145.9502,0.07205556,0,0,1
299544927434467328,1237648720141943100,145.6811,-0.8672222,0,0,1
299546576701908992,1237650795146051733,145.6479,-0.7717222,0,0,1
299546851579815936,1237650795146051731,145.6452,-0.8155,0,0,1
299547401335629824,1237650795146051757,145.6785,-0.7913611,0,0,1
299547676213536768,1237650795146117231,145.7541,-0.7533889,1,0,0
299547951091443712,1237650795146117247,145.7597,-0.8138889,0,0,1
299548225969350656,1237650795146051832,145.6434,-0.6847778,1,0,0
299548500847257600,1237650795146051795,145.7089,-0.7476667,1,0,0
299549600358885376,1237648720678879482,145.7811,-0.6053611,0,0,1
299550699870513152,1237648721215684759,145.5983,-0.2021944,0,0,1
299550974748420096,1237648721215750275,145.7027,-0.04855556,0,0,1
299551524504233984,1237648720678879348,145.722,-0.5271667,0,1,0
299551799382140928,1237648721215750297,145.7447,-0.07636111,1,0,0
299552624015861760,1237650795682922788,145.6691,-0.421,0,0,1
299552898893768704,1237648721215750163,145.7372,-0.06102778,0,0,1
299553448649582592,1237648721215684828,145.6894,-0.01133333,1,0,0
299553723527489536,1237648721215750320,145.7784,-0.1345556,0,0,1
299553998405396480,1237648721215684769,145.6012,-0.001388889,1,0,0
299554823039117312,1237650796219793563,145.6695,0.1116944,0,0,1
299555097917024256,1237650796219793525,145.6223,0.03461111,1,0,0
299555372794931200,1237648704023757044,145.8012,-0.2111111,1,0,0
299556197428652032,1237650795145920732,145.3882,-0.69225,0,0,1
299556472306558976,1237650795145986270,145.4963,-0.73675,0,0,1
299556747184465920,1237650795145920799,145.4396,-0.6451945,0,0,1
299558396451907584,1237648720141877432,145.4632,-0.8442222,0,0,1
299558671329814528,1237650795145986369,145.5575,-0.6931944,0,0,1
299558946207721472,1237650795145986295,145.5262,-0.7474167,0,1,0
299559495963535360,1237650795145920729,145.3782,-0.6742778,0,0,1
299559770841442304,1237650795145920759,145.3984,-0.6708889,0,0,1
299560045719349248,1237650795145986089,145.4873,-0.8069167,1,0,0
299560870353070080,1237648720678682916,145.3943,-0.5576389,0,0,1
299561145230977024,1237650795682791646,145.4068,-0.3143611,0,0,1
299561420108883968,1237650795682791609,145.3647,-0.34275,0,0,1
299562519620511744,1237648720678748371,145.5163,-0.5191666,0,0,1
299563344254232576,1237648721215553783,145.3961,-0.09122222,1,0,0
299564443765860352,1237650796219662565,145.427,0.04958333,0,0,1
299564718643767296,1237650796219662509,145.3475,0.05438889,0,0,1
299564993521674240,1237650796219662548,145.4131,0.1064722,1,0,0
299565268399581184,1237648721215619221,145.4455,-0.1226667,0,0,1
299565543277488128,1237650796219728015,145.4467,0.07738889,1,0,0
299565818155395072,1237650796219728147,145.4542,0.03913889,0,0,1
299567467422836736,1237648720141746455,145.2074,-0.8630834,0,1,0
299568841812371456,1237648720141746448,145.1963,-0.88,0,0,1
299569391568185344,1237650795145855144,145.1605,-0.6554722,1,0,0
299570216201906176,1237648720678682871,145.3416,-0.5772778,0,0,1
299570765957720064,1237648720678617276,145.2248,-0.5480278,0,0,1
299571040835627008,1237650795145855243,145.2779,-0.7331111,0,0,1
299571590591440896,1237650795145920715,145.3622,-0.714,0,0,1
299572140347254784,1237648720678682858,145.3313,-0.5420555,0,0,1
299572690103068672,1237650795682791578,145.3206,-0.2528611,0,0,1
299573239858882560,1237650795682726146,145.2078,-0.3221111,0,0,1
299573514736789504,1237648721215553691,145.2896,-0.1473333,0,0,1
299574064492603392,1237650795682791595,145.3442,-0.3685,0,0,1
299574339370510336,1237648720678682671,145.2754,-0.4734722,0,0,1
299574614248417280,1237648720678617377,145.2333,-0.4356667,0,0,1
299574889126324224,1237650796219662494,145.3406,0.01916667,0,0,1
299575164004231168,1237648720678617240,145.1674,-0.4823333,0,0,1
299575438882138112,1237648721215488183,145.219,-0.1861667,0,0,1
299576263515858944,1237648721215553734,145.3443,-0.01694444,0,0,1
299577363027486720,1237650796219662479,145.33,0.04311111,1,0,0
299578187661207552,1237648722826166434,145.3477,1.077472,0,0,1
299579836928649216,1237648722289361169,145.5412,0.7954444,0,0,1
299580386684463104,1237650797293404284,145.3905,0.9578056,0,0,1
299580661562370048,1237648722289230091,145.2299,0.7625555,0,0,1
299582585707718656,1237650797293338816,145.1987,0.9326667,0,0,1
299582860585625600,1237648722289361065,145.4431,0.8266111,1,0,0
299583135463532544,1237650796756533434,145.3412,0.5473056,1,0,0
299583410341439488,1237648721752359060,145.2204,0.4108333,0,0,1
299583960097253376,1237648721752424676,145.3941,0.3557222,0,0,1
299585059608881152,1237648721752424631,145.2886,0.3465,0,0,1
299585334486788096,1237650796756533504,145.3047,0.5623889,1,0,0
299585609364695040,1237650796756533425,145.3118,0.5033056,0,0,1
299585884242601984,1237650796219596962,145.2188,0.1470278,1,0,0
299586983754229760,1237650796219596986,145.252,0.1264722,0,0,1
299587258632136704,1237648721752359194,145.2499,0.2618056,0,0,1
299587808387950592,1237650796219596957,145.1939,0.1689167,0,1,0
299590832044926976,1237650797293600892,145.8075,0.9499444,0,0,1
299591106922833920,1237651752384659678,145.5989,0.8438333,0,1,0
299591381800740864,1237648722289492252,145.8429,0.7478611,1,0,0
299592206434461696,1237648722289557611,145.8681,0.8293889,1,0,0
299593580823996416,1237650797293469823,145.5446,0.9393611,1,0,0
299594130579810304,1237648721752555640,145.594,0.3094167,0,0,1
299594405457717248,1237650796756533465,145.4214,0.5336944,0,0,1
299594955213531136,1237650796756533529,145.4339,0.5641667,0,0,1
299596329603065856,1237650796756664452,145.6337,0.6208056,0,0,1
299596879358879744,1237650796219728076,145.4993,0.1215,0,0,1
299597154236786688,1237650796219728046,145.4713,0.1551944,1,0,0
299597429114693632,1237650796219662588,145.4389,0.147,0,0,1
299599078382135296,1237648721752555616,145.5563,0.2385278,1,0,0
299599903015856128,1237648722289623245,146.0151,0.8235,0,0,1
299600177893763072,1237650797293600959,145.8752,0.9125,1,0,0
299601827161204736,1237648722289557692,145.9697,0.8309166,0,1,0
299602376917018624,1237651752384790621,145.8719,0.8737778,0,0,1
299602651794925568,1237648722289623239,146.0123,0.7656389,0,0,1
299603201550739456,1237650797293731872,146.0822,1.034778,0,0,1
299603751306553344,1237648722289557713,145.9926,0.7880555,0,1,0
299604301062367232,1237650797293600970,145.8935,1.028444,1,0,0
299604575940274176,1237648722826428568,145.9506,1.065111,0,0,1
299605125696088064,1237650796756664534,145.7433,0.4634722,0,0,1
299605400573995008,1237648722289492179,145.8475,0.6757222,0,0,1
299605675451901952,1237650796756664712,145.6457,0.5096111,0,0,1
299606500085622784,1237650796756729879,145.7964,0.5615,0,0,1
299606774963529728,1237648722289492081,145.7255,0.7306666,0,0,1
299607049841436672,1237650796756664521,145.7327,0.5340555,0,0,1
299607324719343616,1237650796756664459,145.6519,0.4691389,0,1,0
299607599597250560,1237648722289492224,145.7988,0.6505,0,0,1
299608424230971392,1237650796219793636,145.7294,0.1269167,1,0,0
299608699108878336,1237650796756664572,145.7065,0.4594167,0,0,1
299609248864692224,1237650796756730101,145.8139,0.4885,0,0,1
299609523742599168,1237650796756730081,145.7926,0.52475,0,0,1
299609798620506112,1237648721752621240,145.7751,0.3202222,0,0,1
299610073498413056,1237648721752621257,145.8002,0.4141667,1,0,0
299610348376320000,1237650796219859103,145.7658,0.1353611,0,0,1
299611447887947776,1237650797293731984,146.0874,0.998,0,0,1
299612272521668608,1237651752921792753,146.2269,1.24525,0,1,0
299612547399575552,1237651752921792685,146.2063,1.148278,0,1,0
299612822277482496,1237650797293797524,146.247,0.9249167,1,0,0
299613646911203328,1237651752384921745,146.1597,0.8407222,0,0,1
299614196667017216,1237648722289623338,146.1474,0.8173611,0,0,1
299615021300738048,1237648722289623325,146.1263,0.7578889,1,0,0
299615845934458880,1237651752384856377,146.1315,0.8411667,1,0,0
299616120812365824,1237650796756795423,145.9367,0.4988889,0,0,1
299616395690272768,1237648722289623054,146.0209,0.7335556,0,1,0
299616670568179712,1237650796756795418,145.9478,0.4653056,0,1,0
299617220323993600,1237648722289623248,146.0169,0.7167778,0,0,1
299617770079807488,1237648721752686780,145.9992,0.3524444,0,0,1
299618594713528320,1237648722289557665,145.9377,0.6720555,0,0,1
299618869591435264,1237648721752686598,145.9072,0.4008889,0,0,1
299619419347249152,1237650796219924631,145.9563,0.1993889,0,0,1
299619694225156096,1237650796219924614,145.9386,0.1510278,0,0,1
299619969103063040,1237650796219924667,146.006,0.1454722,0,0,1
299620243980969984,1237650796219924616,145.9397,0.1169167,1,0,0
299620518858876928,1237650796219924757,146.0041,0.2036389,0,1,0
299620793736783872,1237648721752752242,146.062,0.3023333,0,0,1
299621343492597760,1237648721752686769,145.9785,0.2949722,1,0,0
299622168126318592,1237648722289623275,146.0694,0.6981944,0,0,1
299622443004225536,1237650796756926591,146.275,0.581,0,0,1
299623267637946368,1237648721752752343,146.1444,0.2431111,0,1,0
299623542515853312,1237648722289623371,146.0898,0.6598055,0,0,1
299623817393760256,1237650796756861140,146.1566,0.5695834,0,0,1
299624092271667200,1237650796756861201,146.1722,0.5706389,0,0,1
299624367149574144,1237648721752752292,146.1424,0.3090556,0,0,1
299624642027481088,1237648722289688840,146.2164,0.6594445,0,0,1
299624916905388032,1237648721752752319,146.0787,0.2127778,0,1,0
299625466661201920,1237650796219990144,146.0658,0.1836667,0,0,1
299625741539108864,1237650796219990080,146.1853,0.1193056,0,0,1
299626016417015808,1237650796756926585,146.2518,0.5061389,0,0,1
299626566172829696,1237650796219990244,146.1445,0.1269722,0,0,1
299627115928643584,1237650796220186819,146.5888,0.1726111,0,1,0
299627665684457472,1237648721752883377,146.3958,0.2401389,0,0,1
299627940562364416,1237648722289819672,146.463,0.6386945,0,0,1
299628215440271360,1237648721752883455,146.4294,0.2400278,0,0,1
299628490318178304,1237650796220186782,146.5153,0.1667778,0,0,1
299629314951899136,1237648721752883489,146.4118,0.2153611,1,0,0
299629589829806080,1237648722289688871,146.2988,0.6561111,0,0,1
299629864707713024,1237648721752883442,146.4187,0.3988611,0,0,1
299630139585619968,1237650796756992213,146.4063,0.6041111,0,0,1
299630689341433856,1237650796756926716,146.3203,0.5733889,0,0,1
299630964219340800,1237648722289754220,146.338,0.7221667,0,0,1
299631513975154688,1237650796756926626,146.3168,0.5891666,0,0,1
299632338608875520,1237648721752948910,146.5688,0.2661389,0,0,1
299633438120503296,1237651752385052844,146.5912,0.8966944,0,0,1
299633712998410240,1237651752385052856,146.4747,0.9056944,0,0,1
299633987876317184,1237651752385052808,146.5203,0.8718611,0,0,1
299635637143758848,1237648722289819869,146.5309,0.7819445,0,0,1
299635912021665792,1237650797293862996,146.3798,0.9266389,0,0,1
299637286411200512,1237648722289819865,146.5112,0.8132778,0,0,1
299637561289107456,1237651752384987299,146.3665,0.8511389,0,0,1
299637836167014400,1237648722289885345,146.6087,0.8046945,1,0,0
299638385922828288,1237648721753014501,146.6752,0.278,0,0,1
299638660800735232,1237650796220186852,146.6167,0.1378889,0,0,1
299638935678642176,1237650796220186910,146.6387,0.1962222,0,0,1
299639485434456064,1237650796220252345,146.6945,0.1723611,0,1,0
299639760312363008,1237648722289885254,146.6113,0.6930278,1,0,0
299640310068176896,1237651801769574400,146.8363,0.5118055,0,0,1
299641134701897728,1237648722289951035,146.7819,0.7043889,0,0,1
299641684457711616,1237648722289950774,146.8068,0.6655555,0,0,1
299642509091432448,1237648722289950980,146.8525,0.6870278,0,0,1
299643058847246336,1237648722289950745,146.7991,0.7026944,0,0,1
299643333725153280,1237648721753014482,146.7478,0.2658055,0,0,1
299643883480967168,1237651752921989320,146.6772,1.129556,1,0,0
299644433236781056,1237651752385183960,146.7989,0.8505278,1,0,0
299645532748408832,1237648722826756273,146.6677,1.102083,0,0,1
299645807626315776,1237650797294059653,146.8163,0.9440833,0,1,0
299646632260036608,1237648722289950942,146.7823,0.7943889,0,0,1
299647182015850496,1237648722826756162,146.6921,1.066528,0,0,1
299648006649571328,1237648722289951028,146.7815,0.7379444,0,0,1
299648831283292160,1237650797293994219,146.7133,1.009306,0,0,1
299649106161199104,1237650796757319821,147.1131,0.4401111,0,0,1
299650755428640768,1237648722290016409,146.9038,0.6321667,0,0,1
299651030306547712,1237650796757188777,146.871,0.4225,0,0,1
299651305184454656,1237651801769640397,147.0039,0.5949444,0,0,1
299651580062361600,1237648721753145550,146.9577,0.3933611,1,0,0
299651854940268544,1237648721753145376,146.9029,0.2089167,1,0,0
299652129818175488,1237651801769640183,146.8965,0.5474167,0,0,1
299652679573989376,1237648721753080080,146.8769,0.3615833,0,0,1
299652954451896320,1237648721753080096,146.8878,0.2174444,1,0,0
299653229329803264,1237648722290016415,146.9173,0.6948333,1,0,0
299653504207710208,1237648721753080143,146.8953,0.3589722,0,0,1
299656252986779648,1237651752385249517,146.9021,0.89975,0,1,0
299656802742593536,1237651752385315031,147.0744,0.8852222,1,0,0
299657352498407424,1237648722290016542,147.032,0.7753333,0,1,0
299658177132128256,1237648722290016499,147.0217,0.7544444,0,1,0
299658452010035200,1237648722290016425,146.934,0.8188611,0,0,1
299658726887942144,1237651752385183972,146.8408,0.88625,1,0,0
299659001765849088,1237648722290081911,147.0805,0.7880278,0,0,1
299659276643756032,1237648722289950973,146.8422,0.7408056,0,0,1
299660101277476864,1237650796757319865,147.1801,0.4296389,0,1,0
299660376155383808,1237648721753276576,147.3268,0.2455278,0,0,1
299660651033290752,1237650796220514483,147.3145,0.1748333,0,0,1
299660925911197696,1237648721753276514,147.2483,0.3114444,0,0,1
299661750544918528,1237648721753276559,147.3055,0.2176667,0,0,1
299662025422825472,1237648721753210967,147.1929,0.2719167,0,0,1
299662575178639360,1237650796220514478,147.3083,0.1511667,0,0,1
299663124934453248,1237650796757320031,147.1799,0.4930278,0,0,1
299663399812360192,1237648721753211085,147.1506,0.4165556,1,0,0
299664224446081024,1237648721753211064,147.1283,0.3692222,1,0,0
299664499323987968,1237651801769705928,147.1706,0.53125,0,0,1
299664774201894912,1237648721753276550,147.294,0.3813333,0,0,1
299665049079801856,1237650796757319831,147.1274,0.5045,0,0,1
299665323957708800,1237650796757385500,147.2655,0.4656667,1,0,0
300615576982677504,1237651800159748237,148.5986,-0.73225,1,0,0
300616126738491392,1237648720143253733,148.6669,-0.8991111,1,0,0
300616401616398336,1237648720143253649,148.5736,-0.899,0,0,1
300617501128026112,1237654669198164194,148.7329,-0.7611389,0,0,1
300619150395467776,1237648720143253644,148.565,-0.9546111,0,0,1
300619425273374720,1237648720143253667,148.585,-0.9420834,0,0,1
300619975029188608,1237648720143253641,148.5656,-0.9360833,1,0,0
300621074540816384,1237654669735231788,149.1686,-0.3805,1,0,0
300621349418723328,1237654669735231622,149.1609,-0.3580278,0,1,0
300621899174537216,1237654669735231507,149.1238,-0.3982778,0,0,1
300622174052444160,1237654669735231493,149.113,-0.3488333,0,0,1
300622448930351104,1237651800696881250,149.1863,-0.3118055,0,0,1
300622723808258048,1237648720680321130,149.1127,-0.4756389,0,0,1
300622998686164992,1237651800696881166,149.1913,-0.2595278,0,0,1
300623273564071936,1237648720680386797,149.1499,-0.4900278,0,0,1
300623548441978880,1237654669735231661,149.1715,-0.4129722,0,0,1
300623823319885824,1237648721217257601,149.1546,-0.1157222,1,0,0
300624098197792768,1237654669735231591,149.1355,-0.3462778,0,0,1
300624373075699712,1237651801233752162,149.1753,0.1921111,0,0,1
300624647953606656,1237648721217257621,149.1699,-0.02333333,0,1,0
300624922831513600,1237654669735231608,149.1424,-0.3724167,1,0,0
300625472587327488,1237651801233686770,149.1179,0.1839722,1,0,0
300625747465234432,1237651800696881217,149.1562,-0.3152222,0,0,1
300626022343141376,1237654670272102476,149.1281,0.08361111,0,0,1
300626297221048320,1237651801233752148,149.154,0.1724722,0,0,1
300629046000117760,1237648720143188224,148.5091,-1.003528,1,0,0
300629595755931648,1237650795147296996,148.5592,-0.7601944,0,0,1
300630420389652480,1237650795147296771,148.4406,-0.8035278,0,0,1
300630695267559424,1237648720143188148,148.5087,-0.8922222,0,0,1
300631245023373312,1237650795147296897,148.5044,-0.7917778,1,0,0
300631519901280256,1237650795147296891,148.5,-0.7454444,0,0,1
300631794779187200,1237650795147296855,148.454,-0.7959445,0,0,1
300632069657094144,1237648720680321254,149.0695,-0.555,1,0,0
300632344535001088,1237651800696815824,149.0694,-0.234,1,0,0
300632619412908032,1237651800696815831,149.0902,-0.2514167,0,0,1
300632894290814976,1237654669735166231,149.1053,-0.3674167,1,0,0
300633444046628864,1237648721217192199,149.0627,-0.02919444,0,0,1
300633718924535808,1237651801233686759,149.1125,0.1296944,1,0,0
300633993802442752,1237648720680321224,149.0197,-0.5964444,0,0,1
300634268680349696,1237648720680321231,149.0438,-0.6228055,0,0,1
300634818436163584,1237648721217192161,149.0255,-0.1205833,0,0,1
300635093314070528,1237651800696815647,149.0197,-0.2398611,0,0,1
300635368191977472,1237648721217192209,149.0712,-0.1031111,0,0,1
300635643069884416,1237651800696815739,148.997,-0.2446389,0,0,1
300636192825698304,1237651800696816290,149.0849,-0.3001667,0,0,1
300636467703605248,1237651801233686692,149.0273,0.14325,1,0,0
300637017459419136,1237651801233686675,149.0106,0.1397222,1,0,0
300637842093139968,1237648720143057157,148.2156,-0.8747778,1,0,0
300638941604767744,1237648720143122623,148.3945,-0.88775,1,0,0
300639216482674688,1237648720143122523,148.2695,-0.8566945,1,0,0
300639491360581632,1237648720143057124,148.2455,-0.9731944,0,0,1
300639766238488576,1237648720143122589,148.3535,-0.9050556,1,0,0
300640041116395520,1237648720143122615,148.385,-0.9414722,0,1,0
300640315994302464,1237650795147165879,148.223,-0.7385556,0,0,1
300641140628023296,1237650795147165934,148.2488,-0.8077778,0,0,1
300641415505930240,1237650795147165945,148.2669,-0.7833334,1,0,0
300641690383837184,1237650795147165941,148.2522,-0.7741944,0,0,1
300641965261744128,1237650795147165899,148.2377,-0.7919722,0,1,0
300642789895464960,1237648720143057118,148.2321,-0.8636389,0,0,1
300643339651278848,1237654670271971603,148.9084,0.008722222,1,0,0
300643614529185792,1237648721217126584,148.8566,-0.05916667,0,0,1
300644164284999680,1237651800696750245,148.8736,-0.2905833,1,0,0
300644714040813568,1237648721217126725,148.9795,-0.1903056,1,0,0
300644988918720512,1237648721217061098,148.8425,-0.04411111,1,0,0
300645538674534400,1237648720680255563,148.88,-0.46725,0,0,1
300645813552441344,1237648721217061052,148.7917,-0.02102778,1,0,0
300646088430348288,1237648721217126671,148.9536,-0.09713889,0,1,0
300646363308255232,1237651801233620992,148.9723,0.09477778,1,0,0
300646638186162176,1237648720680255541,148.8482,-0.5873055,0,0,1
300646913064069120,1237648721217061100,148.8427,-0.07872222,0,0,1
300647462819883008,1237648721217061050,148.7756,-0.1411944,0,0,1
300647737697789952,1237651801233555754,148.8106,0.1648611,0,0,1
300648012575696896,1237648721217126706,148.9548,-0.002083333,0,0,1
300649661843138560,1237648720142925900,147.9279,-0.9569722,0,0,1
300651311110580224,1237650795147100365,148.0622,-0.6608056,0,0,1
300651860866394112,1237650795147100370,148.0682,-0.7047778,0,0,1
300652410622208000,1237650795147100328,148.0022,-0.7840555,1,0,0
300652685500114944,1237648720142991613,147.9652,-0.9493611,1,0,0
300652960378021888,1237650795147100331,148.0055,-0.7680556,0,0,1
300653235255928832,1237648720142991573,148.049,-0.8521389,0,0,1
300654334767556608,1237648721216995401,148.5495,-0.06616667,1,0,0
300654609645463552,1237648720680059016,148.4783,-0.54425,0,0,1
300655159401277440,1237651800696553620,148.4204,-0.2319722,0,0,1
300655709157091328,1237648721216930023,148.5058,-0.1138889,1,0,0
300655984034998272,1237648720680124693,148.6577,-0.5998333,0,0,1
300657083546626048,1237651801233555601,148.7289,0.1888611,1,0,0
300657358424532992,1237648721216929817,148.4348,-0.0905,0,0,1
300657633302439936,1237648721216995421,148.593,-0.196,0,1,0
300657908180346880,1237648721216995497,148.6797,-0.02511111,1,0,0
300658183058253824,1237651801233490073,148.6001,0.1291667,1,0,0
300658457936160768,1237651801233490056,148.59,0.15325,0,0,1
300659007691974656,1237654669735035129,148.7279,-0.3707222,0,1,0
300659282569881600,1237654669735035263,148.6838,-0.3438333,0,0,1
300659832325695488,1237651800696422621,148.2183,-0.2766111,0,0,1
300660382081509376,1237648721216798768,148.183,-0.05830555,1,0,0
300661206715230208,1237650795683971362,148.1356,-0.3423333,1,0,0
300662306226857984,1237651801233359018,148.3249,0.1150556,0,0,1
300662581104764928,1237648721216929936,148.4057,-0.04105556,0,0,1
300662855982671872,1237651801233358961,148.2405,0.1179167,1,0,0
300663130860578816,1237648721216864397,148.346,-0.166,0,1,0
300663405738485760,1237650796220907786,148.2826,0.04855556,0,0,1
300664230372206592,1237650795683971340,148.1252,-0.4178611,0,0,1
300664505250113536,1237648721216798935,148.2361,-0.1744722,0,0,1
300664780128020480,1237648721216733511,148.0848,-0.1466667,1,0,0
300665055005927424,1237648721216667792,147.8309,-0.1759444,0,0,1
