,specobjid,objid8,ra,dec,Gtype
146,299567467422836736,1237648720141746455,145.2074,-0.8630834,E
147,299568841812371456,1237648720141746448,145.1963,-0.88,UN
148,299569391568185344,1237650795145855144,145.1605,-0.6554722,S
149,299570216201906176,1237648720678682871,145.3416,-0.5772778,UN
150,299570765957720064,1237648720678617276,145.2248,-0.5480278,UN
151,299571040835627008,1237650795145855243,145.2779,-0.7331111,UN
152,299571590591440896,1237650795145920715,145.3622,-0.714,UN
153,299572140347254784,1237648720678682858,145.3313,-0.5420555,UN
154,299572690103068672,1237650795682791578,145.3206,-0.2528611,UN
155,299573239858882560,1237650795682726146,145.2078,-0.3221111,UN
156,299573514736789504,1237648721215553691,145.2896,-0.1473333,UN
157,299574064492603392,1237650795682791595,145.3442,-0.3685,UN
158,299574339370510336,1237648720678682671,145.2754,-0.4734722,UN
159,299574614248417280,1237648720678617377,145.2333,-0.4356667,UN
160,299574889126324224,1237650796219662494,145.3406,0.01916667,UN
161,299575164004231168,1237648720678617240,145.1674,-0.4823333,UN
162,299575438882138112,1237648721215488183,145.219,-0.1861667,UN
163,299576263515858944,1237648721215553734,145.3443,-0.01694444,UN
164,299577363027486720,1237650796219662479,145.33,0.04311111,S
165,299578187661207552,1237648722826166434,145.3477,1.077472,UN
166,299579836928649216,1237648722289361169,145.5412,0.7954444,UN
167,299580386684463104,1237650797293404284,145.3905,0.9578056,UN
168,299580661562370048,1237648722289230091,145.2299,0.7625555,UN
169,299582585707718656,1237650797293338816,145.1987,0.9326667,UN
170,299582860585625600,1237648722289361065,145.4431,0.8266111,S
171,299583135463532544,1237650796756533434,145.3412,0.5473056,S
172,299583410341439488,1237648721752359060,145.2204,0.4108333,UN
173,299583960097253376,1237648721752424676,145.3941,0.3557222,UN
174,299585059608881152,1237648721752424631,145.2886,0.3465,UN
175,299585334486788096,1237650796756533504,145.3047,0.5623889,S
176,299585609364695040,1237650796756533425,145.3118,0.5033056,UN
177,299585884242601984,1237650796219596962,145.2188,0.1470278,S
178,299586983754229760,1237650796219596986,145.252,0.1264722,UN
179,299587258632136704,1237648721752359194,145.2499,0.2618056,UN
180,299587808387950592,1237650796219596957,145.1939,0.1689167,E
181,299590832044926976,1237650797293600892,145.8075,0.9499444,UN
182,299591106922833920,1237651752384659678,145.5989,0.8438333,E
183,299591381800740864,1237648722289492252,145.8429,0.7478611,S
184,299592206434461696,1237648722289557611,145.8681,0.8293889,S
185,299593580823996416,1237650797293469823,145.5446,0.9393611,S
186,299594130579810304,1237648721752555640,145.594,0.3094167,UN
187,299594405457717248,1237650796756533465,145.4214,0.5336944,UN
188,299594955213531136,1237650796756533529,145.4339,0.5641667,UN
189,299596329603065856,1237650796756664452,145.6337,0.6208056,UN
190,299596879358879744,1237650796219728076,145.4993,0.1215,UN
191,299597154236786688,1237650796219728046,145.4713,0.1551944,S
192,299597429114693632,1237650796219662588,145.4389,0.147,UN
193,299599078382135296,1237648721752555616,145.5563,0.2385278,S
194,299599903015856128,1237648722289623245,146.0151,0.8235,UN
195,299600177893763072,1237650797293600959,145.8752,0.9125,S
196,299601827161204736,1237648722289557692,145.9697,0.8309166,E
197,299602376917018624,1237651752384790621,145.8719,0.8737778,UN
198,299602651794925568,1237648722289623239,146.0123,0.7656389,UN
199,299603201550739456,1237650797293731872,146.0822,1.034778,UN
200,299603751306553344,1237648722289557713,145.9926,0.7880555,E
201,299604301062367232,1237650797293600970,145.8935,1.028444,S
202,299604575940274176,1237648722826428568,145.9506,1.065111,UN
203,299605125696088064,1237650796756664534,145.7433,0.4634722,UN
204,299605400573995008,1237648722289492179,145.8475,0.6757222,UN
205,299605675451901952,1237650796756664712,145.6457,0.5096111,UN
206,299606500085622784,1237650796756729879,145.7964,0.5615,UN
207,299606774963529728,1237648722289492081,145.7255,0.7306666,UN
208,299607049841436672,1237650796756664521,145.7327,0.5340555,UN
209,299607324719343616,1237650796756664459,145.6519,0.4691389,E
210,299607599597250560,1237648722289492224,145.7988,0.6505,UN
211,299608424230971392,1237650796219793636,145.7294,0.1269167,S
212,299608699108878336,1237650796756664572,145.7065,0.4594167,UN
213,299609248864692224,1237650796756730101,145.8139,0.4885,UN
214,299609523742599168,1237650796756730081,145.7926,0.52475,UN
215,299609798620506112,1237648721752621240,145.7751,0.3202222,UN
216,299610073498413056,1237648721752621257,145.8002,0.4141667,S
217,299610348376320000,1237650796219859103,145.7658,0.1353611,UN
218,299611447887947776,1237650797293731984,146.0874,0.998,UN
219,299612272521668608,1237651752921792753,146.2269,1.24525,E
220,299612547399575552,1237651752921792685,146.2063,1.148278,E
221,299612822277482496,1237650797293797524,146.247,0.9249167,S
222,299613646911203328,1237651752384921745,146.1597,0.8407222,UN
223,299614196667017216,1237648722289623338,146.1474,0.8173611,UN
224,299615021300738048,1237648722289623325,146.1263,0.7578889,S
225,299615845934458880,1237651752384856377,146.1315,0.8411667,S
226,299616120812365824,1237650796756795423,145.9367,0.4988889,UN
227,299616395690272768,1237648722289623054,146.0209,0.7335556,E
228,299616670568179712,1237650796756795418,145.9478,0.4653056,E
229,299617220323993600,1237648722289623248,146.0169,0.7167778,UN
230,299617770079807488,1237648721752686780,145.9992,0.3524444,UN
231,299618594713528320,1237648722289557665,145.9377,0.6720555,UN
232,299618869591435264,1237648721752686598,145.9072,0.4008889,UN
233,299619419347249152,1237650796219924631,145.9563,0.1993889,UN
234,299619694225156096,1237650796219924614,145.9386,0.1510278,UN
235,299619969103063040,1237650796219924667,146.006,0.1454722,UN
236,299620243980969984,1237650796219924616,145.9397,0.1169167,S
237,299620518858876928,1237650796219924757,146.0041,0.2036389,E
238,299620793736783872,1237648721752752242,146.062,0.3023333,UN
239,299621343492597760,1237648721752686769,145.9785,0.2949722,S
240,299622168126318592,1237648722289623275,146.0694,0.6981944,UN
241,299622443004225536,1237650796756926591,146.275,0.581,UN
242,299623267637946368,1237648721752752343,146.1444,0.2431111,E
243,299623542515853312,1237648722289623371,146.0898,0.6598055,UN
244,299623817393760256,1237650796756861140,146.1566,0.5695834,UN
245,299624092271667200,1237650796756861201,146.1722,0.5706389,UN
246,299624367149574144,1237648721752752292,146.1424,0.3090556,UN
247,299624642027481088,1237648722289688840,146.2164,0.6594445,UN
248,299624916905388032,1237648721752752319,146.0787,0.2127778,E
249,299625466661201920,1237650796219990144,146.0658,0.1836667,UN
250,299625741539108864,1237650796219990080,146.1853,0.1193056,UN
251,299626016417015808,1237650796756926585,146.2518,0.5061389,UN
252,299626566172829696,1237650796219990244,146.1445,0.1269722,UN
253,299627115928643584,1237650796220186819,146.5888,0.1726111,E
254,299627665684457472,1237648721752883377,146.3958,0.2401389,UN
255,299627940562364416,1237648722289819672,146.463,0.6386945,UN
256,299628215440271360,1237648721752883455,146.4294,0.2400278,UN
257,299628490318178304,1237650796220186782,146.5153,0.1667778,UN
258,299629314951899136,1237648721752883489,146.4118,0.2153611,S
259,299629589829806080,1237648722289688871,146.2988,0.6561111,UN
260,299629864707713024,1237648721752883442,146.4187,0.3988611,UN
261,299630139585619968,1237650796756992213,146.4063,0.6041111,UN
262,299630689341433856,1237650796756926716,146.3203,0.5733889,UN
263,299630964219340800,1237648722289754220,146.338,0.7221667,UN
264,299631513975154688,1237650796756926626,146.3168,0.5891666,UN
265,299632338608875520,1237648721752948910,146.5688,0.2661389,UN
266,299633438120503296,1237651752385052844,146.5912,0.8966944,UN
267,299633712998410240,1237651752385052856,146.4747,0.9056944,UN
268,299633987876317184,1237651752385052808,146.5203,0.8718611,UN
269,299635637143758848,1237648722289819869,146.5309,0.7819445,UN
270,299635912021665792,1237650797293862996,146.3798,0.9266389,UN
271,299637286411200512,1237648722289819865,146.5112,0.8132778,UN
272,299637561289107456,1237651752384987299,146.3665,0.8511389,UN
273,299637836167014400,1237648722289885345,146.6087,0.8046945,S
274,299638385922828288,1237648721753014501,146.6752,0.278,UN
275,299638660800735232,1237650796220186852,146.6167,0.1378889,UN
276,299638935678642176,1237650796220186910,146.6387,0.1962222,UN
277,299639485434456064,1237650796220252345,146.6945,0.1723611,E
278,299639760312363008,1237648722289885254,146.6113,0.6930278,S
279,299640310068176896,1237651801769574400,146.8363,0.5118055,UN
280,299641134701897728,1237648722289951035,146.7819,0.7043889,UN
281,299641684457711616,1237648722289950774,146.8068,0.6655555,UN
282,299642509091432448,1237648722289950980,146.8525,0.6870278,UN
283,299643058847246336,1237648722289950745,146.7991,0.7026944,UN
284,299643333725153280,1237648721753014482,146.7478,0.2658055,UN
285,299643883480967168,1237651752921989320,146.6772,1.129556,S
286,299644433236781056,1237651752385183960,146.7989,0.8505278,S
287,299645532748408832,1237648722826756273,146.6677,1.102083,UN
288,299645807626315776,1237650797294059653,146.8163,0.9440833,E
289,299646632260036608,1237648722289950942,146.7823,0.7943889,UN
290,299647182015850496,1237648722826756162,146.6921,1.066528,UN
291,299648006649571328,1237648722289951028,146.7815,0.7379444,UN
292,299648831283292160,1237650797293994219,146.7133,1.009306,UN
293,299649106161199104,1237650796757319821,147.1131,0.4401111,UN
294,299650755428640768,1237648722290016409,146.9038,0.6321667,UN
295,299651030306547712,1237650796757188777,146.871,0.4225,UN
296,299651305184454656,1237651801769640397,147.0039,0.5949444,UN
297,299651580062361600,1237648721753145550,146.9577,0.3933611,S
298,299651854940268544,1237648721753145376,146.9029,0.2089167,S
299,299652129818175488,1237651801769640183,146.8965,0.5474167,UN
300,299652679573989376,1237648721753080080,146.8769,0.3615833,UN
301,299652954451896320,1237648721753080096,146.8878,0.2174444,S
302,299653229329803264,1237648722290016415,146.9173,0.6948333,S
303,299653504207710208,1237648721753080143,146.8953,0.3589722,UN
304,299656252986779648,1237651752385249517,146.9021,0.89975,E
305,299656802742593536,1237651752385315031,147.0744,0.8852222,S
306,299657352498407424,1237648722290016542,147.032,0.7753333,E
307,299658177132128256,1237648722290016499,147.0217,0.7544444,E
308,299658452010035200,1237648722290016425,146.934,0.8188611,UN
309,299658726887942144,1237651752385183972,146.8408,0.88625,S
310,299659001765849088,1237648722290081911,147.0805,0.7880278,UN
311,299659276643756032,1237648722289950973,146.8422,0.7408056,UN
312,299660101277476864,1237650796757319865,147.1801,0.4296389,E
313,299660376155383808,1237648721753276576,147.3268,0.2455278,UN
314,299660651033290752,1237650796220514483,147.3145,0.1748333,UN
315,299660925911197696,1237648721753276514,147.2483,0.3114444,UN
316,299661750544918528,1237648721753276559,147.3055,0.2176667,UN
317,299662025422825472,1237648721753210967,147.1929,0.2719167,UN
318,299662575178639360,1237650796220514478,147.3083,0.1511667,UN
319,299663124934453248,1237650796757320031,147.1799,0.4930278,UN
320,299663399812360192,1237648721753211085,147.1506,0.4165556,S
321,299664224446081024,1237648721753211064,147.1283,0.3692222,S
322,299664499323987968,1237651801769705928,147.1706,0.53125,UN
323,299664774201894912,1237648721753276550,147.294,0.3813333,UN
324,299665049079801856,1237650796757319831,147.1274,0.5045,UN
325,299665323957708800,1237650796757385500,147.2655,0.4656667,S
326,300615576982677504,1237651800159748237,148.5986,-0.73225,S
327,300616126738491392,1237648720143253733,148.6669,-0.8991111,S
328,300616401616398336,1237648720143253649,148.5736,-0.899,UN
329,300617501128026112,1237654669198164194,148.7329,-0.7611389,UN
330,300619150395467776,1237648720143253644,148.565,-0.9546111,UN
331,300619425273374720,1237648720143253667,148.585,-0.9420834,UN
332,300619975029188608,1237648720143253641,148.5656,-0.9360833,S
333,300621074540816384,1237654669735231788,149.1686,-0.3805,S
334,300621349418723328,1237654669735231622,149.1609,-0.3580278,E
335,300621899174537216,1237654669735231507,149.1238,-0.3982778,UN
336,300622174052444160,1237654669735231493,149.113,-0.3488333,UN
337,300622448930351104,1237651800696881250,149.1863,-0.3118055,UN
338,300622723808258048,1237648720680321130,149.1127,-0.4756389,UN
339,300622998686164992,1237651800696881166,149.1913,-0.2595278,UN
340,300623273564071936,1237648720680386797,149.1499,-0.4900278,UN
341,300623548441978880,1237654669735231661,149.1715,-0.4129722,UN
342,300623823319885824,1237648721217257601,149.1546,-0.1157222,S
343,300624098197792768,1237654669735231591,149.1355,-0.3462778,UN
344,300624373075699712,1237651801233752162,149.1753,0.1921111,UN
345,300624647953606656,1237648721217257621,149.1699,-0.02333333,E
346,300624922831513600,1237654669735231608,149.1424,-0.3724167,S
347,300625472587327488,1237651801233686770,149.1179,0.1839722,S
348,300625747465234432,1237651800696881217,149.1562,-0.3152222,UN
349,300626022343141376,1237654670272102476,149.1281,0.08361111,UN
350,300626297221048320,1237651801233752148,149.154,0.1724722,UN
351,300629046000117760,1237648720143188224,148.5091,-1.003528,S
352,300629595755931648,1237650795147296996,148.5592,-0.7601944,UN
353,300630420389652480,1237650795147296771,148.4406,-0.8035278,UN
354,300630695267559424,1237648720143188148,148.5087,-0.8922222,UN
355,300631245023373312,1237650795147296897,148.5044,-0.7917778,S
356,300631519901280256,1237650795147296891,148.5,-0.7454444,UN
357,300631794779187200,1237650795147296855,148.454,-0.7959445,UN
358,300632069657094144,1237648720680321254,149.0695,-0.555,S
359,300632344535001088,1237651800696815824,149.0694,-0.234,S
360,300632619412908032,1237651800696815831,149.0902,-0.2514167,UN
361,300632894290814976,1237654669735166231,149.1053,-0.3674167,S
362,300633444046628864,1237648721217192199,149.0627,-0.02919444,UN
363,300633718924535808,1237651801233686759,149.1125,0.1296944,S
364,300633993802442752,1237648720680321224,149.0197,-0.5964444,UN
365,300634268680349696,1237648720680321231,149.0438,-0.6228055,UN
366,300634818436163584,1237648721217192161,149.0255,-0.1205833,UN
367,300635093314070528,1237651800696815647,149.0197,-0.2398611,UN
368,300635368191977472,1237648721217192209,149.0712,-0.1031111,UN
369,300635643069884416,1237651800696815739,148.997,-0.2446389,UN
370,300636192825698304,1237651800696816290,149.0849,-0.3001667,UN
371,300636467703605248,1237651801233686692,149.0273,0.14325,S
372,300637017459419136,1237651801233686675,149.0106,0.1397222,S
373,300637842093139968,1237648720143057157,148.2156,-0.8747778,S
374,300638941604767744,1237648720143122623,148.3945,-0.88775,S
375,300639216482674688,1237648720143122523,148.2695,-0.8566945,S
376,300639491360581632,1237648720143057124,148.2455,-0.9731944,UN
377,300639766238488576,1237648720143122589,148.3535,-0.9050556,S
378,300640041116395520,1237648720143122615,148.385,-0.9414722,E
379,300640315994302464,1237650795147165879,148.223,-0.7385556,UN
380,300641140628023296,1237650795147165934,148.2488,-0.8077778,UN
381,300641415505930240,1237650795147165945,148.2669,-0.7833334,S
382,300641690383837184,1237650795147165941,148.2522,-0.7741944,UN
383,300641965261744128,1237650795147165899,148.2377,-0.7919722,E
384,300642789895464960,1237648720143057118,148.2321,-0.8636389,UN
385,300643339651278848,1237654670271971603,148.9084,0.008722222,S
386,300643614529185792,1237648721217126584,148.8566,-0.05916667,UN
387,300644164284999680,1237651800696750245,148.8736,-0.2905833,S
388,300644714040813568,1237648721217126725,148.9795,-0.1903056,S
389,300644988918720512,1237648721217061098,148.8425,-0.04411111,S
390,300645538674534400,1237648720680255563,148.88,-0.46725,UN
391,300645813552441344,1237648721217061052,148.7917,-0.02102778,S
392,300646088430348288,1237648721217126671,148.9536,-0.09713889,E
393,300646363308255232,1237651801233620992,148.9723,0.09477778,S
394,300646638186162176,1237648720680255541,148.8482,-0.5873055,UN
395,300646913064069120,1237648721217061100,148.8427,-0.07872222,UN
396,300647462819883008,1237648721217061050,148.7756,-0.1411944,UN
397,300647737697789952,1237651801233555754,148.8106,0.1648611,UN
398,300648012575696896,1237648721217126706,148.9548,-0.002083333,UN
399,300649661843138560,1237648720142925900,147.9279,-0.9569722,UN
400,300651311110580224,1237650795147100365,148.0622,-0.6608056,UN
401,300651860866394112,1237650795147100370,148.0682,-0.7047778,UN
402,300652410622208000,1237650795147100328,148.0022,-0.7840555,S
403,300652685500114944,1237648720142991613,147.9652,-0.9493611,S
404,300652960378021888,1237650795147100331,148.0055,-0.7680556,UN
405,300653235255928832,1237648720142991573,148.049,-0.8521389,UN
406,300654334767556608,1237648721216995401,148.5495,-0.06616667,S
407,300654609645463552,1237648720680059016,148.4783,-0.54425,UN
408,300655159401277440,1237651800696553620,148.4204,-0.2319722,UN
409,300655709157091328,1237648721216930023,148.5058,-0.1138889,S
410,300655984034998272,1237648720680124693,148.6577,-0.5998333,UN
411,300657083546626048,1237651801233555601,148.7289,0.1888611,S
412,300657358424532992,1237648721216929817,148.4348,-0.0905,UN
413,300657633302439936,1237648721216995421,148.593,-0.196,E
414,300657908180346880,1237648721216995497,148.6797,-0.02511111,S
415,300658183058253824,1237651801233490073,148.6001,0.1291667,S
416,300658457936160768,1237651801233490056,148.59,0.15325,UN
417,300659007691974656,1237654669735035129,148.7279,-0.3707222,E
418,300659282569881600,1237654669735035263,148.6838,-0.3438333,UN
419,300659832325695488,1237651800696422621,148.2183,-0.2766111,UN
420,300660382081509376,1237648721216798768,148.183,-0.05830555,S
421,300661206715230208,1237650795683971362,148.1356,-0.3423333,S
422,300662306226857984,1237651801233359018,148.3249,0.1150556,UN
423,300662581104764928,1237648721216929936,148.4057,-0.04105556,UN
424,300662855982671872,1237651801233358961,148.2405,0.1179167,S
425,300663130860578816,1237648721216864397,148.346,-0.166,E
426,300663405738485760,1237650796220907786,148.2826,0.04855556,UN
427,300664230372206592,1237650795683971340,148.1252,-0.4178611,UN
428,300664505250113536,1237648721216798935,148.2361,-0.1744722,UN
429,300664780128020480,1237648721216733511,148.0848,-0.1466667,S
430,300665055005927424,1237648721216667792,147.8309,-0.1759444,UN
431,300665329883834368,1237650796220711070,147.7283,0.1358611,UN
432,300665604761741312,1237651800696291634,147.9247,-0.2389444,UN
433,300666429395462144,1237648721216667824,147.863,-0.1684167,S
434,300666979151276032,1237650796220711125,147.7878,0.009861111,S
435,300667254029182976,1237651800696291624,147.9035,-0.3177778,UN
436,300667528907089920,1237650796220711045,147.6933,0.1305,S
437,300668353540810752,1237648721216667817,147.8578,-0.04391667,UN
438,300668628418717696,1237651800696291621,147.8996,-0.21525,S
439,300668903296624640,1237650796220711128,147.7935,0.12325,UN
440,300669178174531584,1237650796220711085,147.7399,0.1597222,UN
441,300669453052438528,1237648721216733449,148.0776,-0.1274444,UN
442,300669727930345472,1237650796220711149,147.8105,0.0465,UN
443,300670002808252416,1237650796220711092,147.7487,0.1158333,UN
444,300670277686159360,1237650796220711116,147.7758,0.05413889,UN
445,300671102319880192,1237648720142860497,147.7552,-0.8680556,UN
446,300671377197787136,1237648720142926003,147.8705,-0.9582222,UN
447,300671652075694080,1237648720142860587,147.7086,-0.8877222,E
448,300672476709414912,1237650795146969334,147.7972,-0.7793611,UN
449,300673576221042688,1237648720142925946,147.8075,-0.8846111,S
450,300673851098949632,1237650795146969395,147.7221,-0.691,S
